GCId,Type,Cause,UsedHeap,PauseTime
1182,ParallelScavenge,Allocation Failure,42435152,2536648
1183,ParallelScavenge,Allocation Failure,42615376,2658050
1184,ParallelScavenge,Allocation Failure,42758752,2166884
1185,ParallelScavenge,Allocation Failure,43004512,4791282
1186,ParallelScavenge,Allocation Failure,43143776,2540950
1187,ParallelScavenge,Allocation Failure,43348576,2541712
1188,ParallelScavenge,Allocation Failure,43455072,2371522
1189,ParallelScavenge,Allocation Failure,43692640,1961360
1190,ParallelScavenge,Allocation Failure,43872864,1935156
1191,ParallelScavenge,Allocation Failure,43922016,4002237
1192,ParallelScavenge,Allocation Failure,43889248,1847588
1193,ParallelScavenge,Allocation Failure,44003936,2766031
1194,ParallelScavenge,Allocation Failure,43938400,2077735
1195,ParallelScavenge,Allocation Failure,44003936,2096985
1196,ParallelScavenge,Allocation Failure,43971168,2234518
1197,ParallelScavenge,Allocation Failure,43971168,1683759
1198,ParallelScavenge,Allocation Failure,44036704,1819843
1199,ParallelScavenge,Allocation Failure,44053088,1648291
1200,ParallelScavenge,Allocation Failure,44102240,1918582
1201,ParallelScavenge,Allocation Failure,44135040,1772577
1202,ParallelScavenge,Allocation Failure,44135040,1662138
1203,ParallelScavenge,Allocation Failure,44174888,1514618
1204,ParallelScavenge,Allocation Failure,44216960,1374458
1205,ParallelScavenge,Allocation Failure,44233344,1646168
1206,ParallelScavenge,Allocation Failure,44200576,3241850
1207,ParallelScavenge,Allocation Failure,44282496,1295423
1208,ParallelScavenge,Allocation Failure,44298880,1496036
1209,ParallelScavenge,Allocation Failure,44290688,2737624
1210,ParallelScavenge,Allocation Failure,44339840,2092600
1211,ParallelScavenge,Allocation Failure,44290688,2914340
1212,ParallelScavenge,Allocation Failure,44372608,3715940
1213,ParallelScavenge,Allocation Failure,44323456,3411395
1214,ParallelScavenge,Allocation Failure,44372608,1144097
1215,ParallelScavenge,Allocation Failure,44388992,3795445
1216,ParallelScavenge,Allocation Failure,44405376,3471560
1217,ParallelScavenge,Allocation Failure,44421760,1703673
1218,ParallelScavenge,Allocation Failure,44405376,1244306
1219,ParallelScavenge,Allocation Failure,44487296,1177930
1220,ParallelScavenge,Allocation Failure,44454528,3329155
1221,ParallelScavenge,Allocation Failure,44536448,1680932
1222,ParallelScavenge,Allocation Failure,44552832,3463520
1223,ParallelScavenge,Allocation Failure,44569216,3219735
1224,ParallelScavenge,Allocation Failure,44552832,1408972
1225,ParallelScavenge,Allocation Failure,44601984,2226043
1226,ParallelScavenge,Allocation Failure,44552832,2497249
1227,ParallelScavenge,Allocation Failure,44601984,2969887
1228,ParallelScavenge,Allocation Failure,44659328,1200220
1229,ParallelScavenge,Allocation Failure,44642944,1237362
1230,ParallelScavenge,Allocation Failure,44659328,2253944
1231,ParallelScavenge,Allocation Failure,44675712,1246981
1232,ParallelScavenge,Allocation Failure,44659328,1974124
1233,ParallelScavenge,Allocation Failure,44708480,2027355
1234,ParallelScavenge,Allocation Failure,44724864,1189296
1235,ParallelScavenge,Allocation Failure,44749440,3479245
1236,ParallelScavenge,Allocation Failure,44765824,1244583
1237,ParallelScavenge,Allocation Failure,44782208,3441165
1238,ParallelScavenge,Allocation Failure,44798592,3786980
1239,ParallelScavenge,Allocation Failure,44814976,2046418
1240,ParallelScavenge,Allocation Failure,44831360,2788918
1241,ParallelScavenge,Allocation Failure,44880512,2091211
1242,ParallelScavenge,Allocation Failure,44798592,2287697
1243,ParallelScavenge,Allocation Failure,44814976,1341205
1244,ParallelScavenge,Allocation Failure,44929264,1610075
1245,ParallelScavenge,Allocation Failure,44913280,1681465
1246,ParallelScavenge,Allocation Failure,44970624,1785278
1247,ParallelScavenge,Allocation Failure,44954240,3901315
1248,ParallelScavenge,Allocation Failure,44970624,1699565
1249,ParallelScavenge,Allocation Failure,44987008,1994300
1250,ParallelScavenge,Allocation Failure,44970624,2037410
1251,ParallelScavenge,Allocation Failure,45052544,2259058
1252,ParallelScavenge,Allocation Failure,44970624,1179815
1253,ParallelScavenge,Allocation Failure,45019776,2948810
1254,ParallelScavenge,Allocation Failure,45068928,1288135
1255,ParallelScavenge,Allocation Failure,45085312,2013492
1256,ParallelScavenge,Allocation Failure,45101696,1359217
1257,ParallelScavenge,Allocation Failure,45118080,1873851
1258,ParallelScavenge,Allocation Failure,45068928,1371736
1259,ParallelScavenge,Allocation Failure,45159040,1399160
1260,ParallelScavenge,Allocation Failure,45175424,3810865
1261,ParallelScavenge,Allocation Failure,45224576,3050747
1262,ParallelScavenge,Allocation Failure,45208192,3728080
1263,ParallelScavenge,Allocation Failure,45224576,2816610
1264,ParallelScavenge,Allocation Failure,45240960,3172102
1265,ParallelScavenge,Allocation Failure,45257344,3030865
1266,ParallelScavenge,Allocation Failure,45273728,3512945
1267,ParallelScavenge,Allocation Failure,45298304,3483675
1268,ParallelScavenge,Allocation Failure,45314688,3446430
1269,ParallelScavenge,Allocation Failure,45331072,3111758
1270,ParallelScavenge,Allocation Failure,45347456,2143730
1271,ParallelScavenge,Allocation Failure,45331072,3167920
1272,ParallelScavenge,Allocation Failure,45380224,1356205
1273,ParallelScavenge,Allocation Failure,45396608,2809482
1274,ParallelScavenge,Allocation Failure,45412992,2138637
1275,ParallelScavenge,Allocation Failure,45396608,2983188
1276,ParallelScavenge,Allocation Failure,45453952,3390488
1277,ParallelScavenge,Allocation Failure,45470336,3284220
1278,ParallelScavenge,Allocation Failure,45486720,1282353
1279,ParallelScavenge,Allocation Failure,45503104,3081391
1280,ParallelScavenge,Allocation Failure,45486720,1250939
1281,ParallelScavenge,Allocation Failure,45503104,1555208
1282,ParallelScavenge,Allocation Failure,45560448,2463530
1283,ParallelScavenge,Allocation Failure,45576832,3234222
1284,ParallelScavenge,Allocation Failure,45560448,2479573
1285,ParallelScavenge,Allocation Failure,45609600,3251140
1286,ParallelScavenge,Allocation Failure,45625984,3452245
1287,ParallelScavenge,Allocation Failure,45642216,2101885
1288,ParallelScavenge,Allocation Failure,45658752,4029310
1289,ParallelScavenge,Allocation Failure,45650560,2906595
1290,ParallelScavenge,Allocation Failure,45699712,1186658
1291,ParallelScavenge,Allocation Failure,45716096,3122600
1292,ParallelScavenge,Allocation Failure,45740672,1261502
1293,ParallelScavenge,Allocation Failure,45757056,1174741
1294,ParallelScavenge,Allocation Failure,45773440,1974710
1295,ParallelScavenge,Allocation Failure,45789824,1277051
1296,ParallelScavenge,Allocation Failure,45773440,3270640
1297,ParallelScavenge,Allocation Failure,45830784,3375441
1298,ParallelScavenge,Allocation Failure,45847168,2565070
1299,ParallelScavenge,Allocation Failure,45863552,3479587
1300,ParallelScavenge,Allocation Failure,45879936,2067017
1301,ParallelScavenge,Allocation Failure,45896320,1448685
1302,ParallelScavenge,Allocation Failure,45879936,3526400
1303,ParallelScavenge,Allocation Failure,45929088,3276022
1304,ParallelScavenge,Allocation Failure,45978240,3191415
1305,ParallelScavenge,Allocation Failure,45970048,3548530
1306,ParallelScavenge,Allocation Failure,45986432,1489518
1307,ParallelScavenge,Allocation Failure,46002816,3160810
