GCId,Type,Cause,UsedHeap,PauseTime
3292,ParallelScavenge,Allocation Failure,34179960,3491370
3293,ParallelScavenge,Allocation Failure,34208648,1941157
3294,ParallelScavenge,Allocation Failure,34225032,3136238
3295,ParallelScavenge,Allocation Failure,34249608,2371090
3296,ParallelScavenge,Allocation Failure,34274184,1095898
3297,ParallelScavenge,Allocation Failure,34306952,1827706
3298,ParallelScavenge,Allocation Failure,34356104,1801545
3299,ParallelScavenge,Allocation Failure,34388872,3304310
3300,ParallelScavenge,Allocation Failure,34372488,3162050
3301,ParallelScavenge,Allocation Failure,34462600,2892741
3302,ParallelScavenge,Allocation Failure,34413448,2029655
3303,ParallelScavenge,Allocation Failure,34364296,1144187
3304,ParallelScavenge,Allocation Failure,34495368,2479793
3305,ParallelScavenge,Allocation Failure,34446216,2011175
3306,ParallelScavenge,Allocation Failure,34503560,1113573
3307,ParallelScavenge,Allocation Failure,34528136,3396705
3308,ParallelScavenge,Allocation Failure,34552712,2486517
3309,ParallelScavenge,Allocation Failure,34536328,1167227
3310,ParallelScavenge,Allocation Failure,34593672,1358573
3311,ParallelScavenge,Allocation Failure,34651016,1901607
3312,ParallelScavenge,Allocation Failure,34634632,1144755
3313,ParallelScavenge,Allocation Failure,34683784,2091652
3314,ParallelScavenge,Allocation Failure,34651016,1264358
3315,ParallelScavenge,Allocation Failure,34634632,1124928
3316,ParallelScavenge,Allocation Failure,34667400,1076528
3317,ParallelScavenge,Allocation Failure,34700168,3167665
3318,ParallelScavenge,Allocation Failure,34667400,3023080
3319,ParallelScavenge,Allocation Failure,34716552,2428283
3320,ParallelScavenge,Allocation Failure,34741128,2706812
3321,ParallelScavenge,Allocation Failure,34741128,2007582
3322,ParallelScavenge,Allocation Failure,34741128,1088083
3323,ParallelScavenge,Allocation Failure,34814848,1165821
3324,ParallelScavenge,Allocation Failure,34872200,1161072
3325,ParallelScavenge,Allocation Failure,34839432,2562203
3326,ParallelScavenge,Allocation Failure,34872200,2290900
3327,ParallelScavenge,Allocation Failure,34855816,2890490
3328,ParallelScavenge,Allocation Failure,34872200,1244596
3329,ParallelScavenge,Allocation Failure,34937736,1723332
3330,ParallelScavenge,Allocation Failure,34921352,2128560
3331,ParallelScavenge,Allocation Failure,34945928,3210215
3332,ParallelScavenge,Allocation Failure,34962312,3631729
3333,ParallelScavenge,Allocation Failure,34986888,3200155
3334,ParallelScavenge,Allocation Failure,34986888,3403730
3335,ParallelScavenge,Allocation Failure,35036040,1468240
3336,ParallelScavenge,Allocation Failure,35085192,1173172
3337,ParallelScavenge,Allocation Failure,35109768,3156765
3338,ParallelScavenge,Allocation Failure,35093384,3375475
3339,ParallelScavenge,Allocation Failure,35109768,3257935
3340,ParallelScavenge,Allocation Failure,35093384,3128126
3341,ParallelScavenge,Allocation Failure,35109768,1245897
3342,ParallelScavenge,Allocation Failure,35158920,1144207
3343,ParallelScavenge,Allocation Failure,35216264,2976577
3344,ParallelScavenge,Allocation Failure,35249032,1804780
3345,ParallelScavenge,Allocation Failure,35232648,1622432
3346,ParallelScavenge,Allocation Failure,35289992,1799310
3347,ParallelScavenge,Allocation Failure,35314568,3261320
3348,ParallelScavenge,Allocation Failure,35306376,1048213
3349,ParallelScavenge,Allocation Failure,35322760,3170475
3350,ParallelScavenge,Allocation Failure,35339144,2701770
3351,ParallelScavenge,Allocation Failure,35355528,3064505
3352,ParallelScavenge,Allocation Failure,35371912,1596295
3353,ParallelScavenge,Allocation Failure,35355528,3252115
3354,ParallelScavenge,Allocation Failure,35445640,3286578
3355,ParallelScavenge,Allocation Failure,35437448,1651778
3356,ParallelScavenge,Allocation Failure,35421064,3198398
3357,ParallelScavenge,Allocation Failure,35470216,2864852
3358,ParallelScavenge,Allocation Failure,35527560,1206813
3359,ParallelScavenge,Allocation Failure,35519368,1102911
