GCId,Type,Cause,UsedHeap,PauseTime
83,ParallelScavenge,Allocation Failure,228267264,3013527
84,ParallelScavenge,Allocation Failure,228365568,4224900
85,ParallelScavenge,Allocation Failure,228988160,3862083
86,ParallelScavenge,Allocation Failure,228988160,3636166
87,ParallelScavenge,Allocation Failure,226989312,4741347
88,ParallelScavenge,Allocation Failure,224957696,3624259
89,ParallelScavenge,Allocation Failure,222958848,3467648
90,ParallelScavenge,Allocation Failure,220894464,4262084
91,ParallelScavenge,System.gc(),98653096,2806414
92,ParallelOld,System.gc(),93525248,183423960
93,ParallelScavenge,Allocation Failure,218720264,3199120
94,ParallelScavenge,Allocation Failure,219473928,2523584
95,ParallelScavenge,Allocation Failure,219506696,3181663
96,ParallelScavenge,Allocation Failure,220129288,3178964
97,ParallelScavenge,Allocation Failure,220162056,4579394
98,ParallelScavenge,Allocation Failure,218130440,3957225
99,ParallelScavenge,Allocation Failure,216131592,2656881
100,ParallelScavenge,Allocation Failure,214624264,7004541
101,ParallelScavenge,Allocation Failure,213084168,4927011
102,ParallelScavenge,System.gc(),188206616,5542676
103,ParallelOld,System.gc(),94242824,140863195
104,ParallelScavenge,Allocation Failure,211520040,5827463
105,ParallelScavenge,Allocation Failure,212314664,3910156
106,ParallelScavenge,Allocation Failure,212871720,5321764
107,ParallelScavenge,Allocation Failure,213461544,2720315
108,ParallelScavenge,Allocation Failure,213535272,4024631
109,ParallelScavenge,Allocation Failure,212093480,2820450
110,ParallelScavenge,Allocation Failure,210520616,4196752
111,ParallelScavenge,Allocation Failure,209013288,2609009
112,ParallelScavenge,Allocation Failure,207473192,3144694
113,ParallelScavenge,Allocation Failure,205998632,5515045
114,ParallelScavenge,System.gc(),138732864,5647597
115,ParallelOld,System.gc(),94915112,178920761
116,ParallelScavenge,Allocation Failure,204313496,5354167
117,ParallelScavenge,Allocation Failure,205034392,3056911
118,ParallelScavenge,Allocation Failure,205689752,3189553
119,ParallelScavenge,Allocation Failure,206214040,6681282
120,ParallelScavenge,Allocation Failure,206803864,5182523
121,ParallelScavenge,Allocation Failure,207393688,4077033
122,ParallelScavenge,Allocation Failure,205886360,3161807
123,ParallelScavenge,Allocation Failure,204346264,4094782
124,ParallelScavenge,Allocation Failure,202838936,3201088
125,ParallelScavenge,Allocation Failure,201331608,3545915
126,ParallelScavenge,System.gc(),197811352,2800079
127,ParallelOld,System.gc(),95556504,142381306
128,ParallelScavenge,Allocation Failure,199743432,4579819
129,ParallelScavenge,Allocation Failure,200431560,5371620
130,ParallelScavenge,Allocation Failure,201021384,3311851
131,ParallelScavenge,Allocation Failure,201676744,3117071
132,ParallelScavenge,Allocation Failure,202168264,4109537
133,ParallelScavenge,Allocation Failure,202790856,2974713
134,ParallelScavenge,Allocation Failure,201283528,3211311
135,ParallelScavenge,Allocation Failure,199808968,2867873
136,ParallelScavenge,Allocation Failure,198793160,3180908
137,ParallelScavenge,Allocation Failure,197711816,2793760
138,ParallelScavenge,Allocation Failure,196794312,5640143
139,ParallelScavenge,System.gc(),152027992,6072295
140,ParallelOld,System.gc(),96196552,201726254
141,ParallelScavenge,Allocation Failure,195679464,3776307
142,ParallelScavenge,Allocation Failure,196400360,3216855
143,ParallelScavenge,Allocation Failure,196957416,3231578
144,ParallelScavenge,Allocation Failure,197580008,3039758
145,ParallelScavenge,Allocation Failure,198137064,5538669
146,ParallelScavenge,Allocation Failure,198767848,3454504
147,ParallelScavenge,Allocation Failure,197752040,3369003
148,ParallelScavenge,Allocation Failure,196736232,3963615
149,ParallelScavenge,Allocation Failure,195753192,3055263
150,ParallelScavenge,Allocation Failure,194802920,6554941
151,ParallelScavenge,Allocation Failure,193787112,3034050
152,ParallelScavenge,Allocation Failure,192730344,5143415
153,ParallelScavenge,System.gc(),104496672,6711615
154,ParallelOld,System.gc(),96851176,179119975
155,ParallelScavenge,Allocation Failure,191618192,4706123
156,ParallelScavenge,Allocation Failure,192339088,3083749
157,ParallelScavenge,Allocation Failure,192928912,2507482
158,ParallelScavenge,Allocation Failure,193453200,6300298
159,ParallelScavenge,Allocation Failure,194075792,3122778
160,ParallelScavenge,Allocation Failure,194665616,3036620
161,ParallelScavenge,Allocation Failure,193617040,3300908
162,ParallelScavenge,Allocation Failure,192634000,5901971
163,ParallelScavenge,Allocation Failure,191650960,3244188
164,ParallelScavenge,Allocation Failure,190667920,3076438
165,ParallelScavenge,Allocation Failure,189619344,3219748
166,ParallelScavenge,Allocation Failure,188734608,4277265
167,ParallelScavenge,System.gc(),158781568,7112270
168,ParallelOld,System.gc(),97541264,199973617
169,ParallelScavenge,Allocation Failure,187555368,2620683
170,ParallelScavenge,Allocation Failure,188243496,3440325
171,ParallelScavenge,Allocation Failure,188833320,6677661
172,ParallelScavenge,Allocation Failure,189390376,3805165
173,ParallelScavenge,Allocation Failure,190045736,3182369
174,ParallelScavenge,Allocation Failure,190570024,4077897
175,ParallelScavenge,Allocation Failure,191127080,4856021
176,ParallelScavenge,Allocation Failure,190144040,3614558
177,ParallelScavenge,Allocation Failure,189128232,3005395
178,ParallelScavenge,Allocation Failure,188145192,3103399
179,ParallelScavenge,Allocation Failure,187129384,3332556
180,ParallelScavenge,Allocation Failure,186097192,2976655
181,ParallelScavenge,Allocation Failure,198254120,3125187
182,ParallelScavenge,System.gc(),108099784,6811979
183,ParallelOld,System.gc(),98147880,134078700
184,ParallelScavenge,Allocation Failure,194840176,3251390
185,ParallelScavenge,Allocation Failure,195593840,3102467
186,ParallelScavenge,Allocation Failure,195626608,3906450
187,ParallelScavenge,Allocation Failure,196216432,5525440
188,ParallelScavenge,Allocation Failure,196216432,3775037
189,ParallelScavenge,Allocation Failure,196839024,3324051
190,ParallelScavenge,Allocation Failure,195790448,3404349
191,ParallelScavenge,Allocation Failure,194840176,4871226
192,ParallelScavenge,Allocation Failure,193824368,3858590
193,ParallelScavenge,Allocation Failure,192841328,3115396
194,ParallelScavenge,Allocation Failure,191891056,3179100
195,ParallelScavenge,Allocation Failure,190850672,4845657
196,ParallelScavenge,System.gc(),118945416,2823168
197,ParallelOld,System.gc(),96577136,185923594
198,ParallelScavenge,Allocation Failure,189725456,4068915
199,ParallelScavenge,Allocation Failure,190380816,2765361
200,ParallelScavenge,Allocation Failure,190970640,4903833
201,ParallelScavenge,Allocation Failure,191593232,5284358
202,ParallelScavenge,Allocation Failure,192215824,3500422
203,ParallelScavenge,Allocation Failure,192772880,5262084
204,ParallelScavenge,Allocation Failure,191724304,3266385
205,ParallelScavenge,Allocation Failure,190774032,2954776
206,ParallelScavenge,Allocation Failure,189790992,6807136
207,ParallelScavenge,Allocation Failure,188775184,3000712
208,ParallelScavenge,Allocation Failure,187710224,4483613
209,ParallelScavenge,Allocation Failure,186792720,3148499
210,ParallelScavenge,System.gc(),175144008,2665373
211,ParallelOld,System.gc(),97205008,130165490
212,ParallelScavenge,Allocation Failure,185669864,4157033
213,ParallelScavenge,Allocation Failure,186357992,5596870
214,ParallelScavenge,Allocation Failure,186947816,5045011
215,ParallelScavenge,Allocation Failure,187603176,4186385
216,ParallelScavenge,Allocation Failure,188160232,5697577
217,ParallelScavenge,Allocation Failure,188684520,3239664
